TX.PB12,2025-02-15T10:53:31.605000Z,2025-02-15T10:53:38.460000Z,2.81673370176669e-08
TX.PECS,2025-02-15T10:53:30.075000Z,2025-02-15T10:53:35.735000Z,1.8094612691125733e-08
4O.NGL02,2025-02-15T10:53:42.425000Z,2025-02-15T10:53:57.125000Z,5.264472217577591e-09
TX.PB01,2025-02-15T10:53:36.970000Z,2025-02-15T10:53:47.600000Z,7.0292829217003336e-09
TX.PB35,2025-02-15T10:53:25.800000Z,2025-02-15T10:53:28.040000Z,4.506818350193343e-08
TX.PB10,2025-02-15T10:53:32.870000Z,2025-02-15T10:53:40.220000Z,3.086385060622022e-08
4O.SA07,2025-02-15T10:53:26.703000Z,2025-02-15T10:53:29.483000Z,1.9188766687909155e-08
2025-02-15T11:30:38.127353Z,31.68892,-104.19798,9.0,0.8979
TX.PB35,2025-02-15T11:30:42.120000Z,2025-02-15T11:30:45.190000Z,2.1007902299205135e-08
TX.PB31,2025-02-15T11:30:41.460000Z,2025-02-15T11:30:44.040000Z,1.6009618226958134e-07
4O.SA02,2025-02-15T11:30:39.769000Z,2025-02-15T11:30:41.089000Z,1.603435294045571e-07
TX.PB39,2025-02-15T11:30:40.960000Z,2025-02-15T11:30:43.160000Z,1.3056440721119898e-07
TX.PB34,2025-02-15T11:30:41.160000Z,2025-02-15T11:30:43.490000Z,1.2237340374208362e-07
TX.PB20,2025-02-15T11:30:40.951000Z,2025-02-15T11:30:43.111000Z,4.498582191508756e-08
TX.PB26,2025-02-15T11:30:40.667000Z,2025-02-15T11:30:42.617000Z,1.308330968259201e-07
TX.PB11,2025-02-15T11:30:43.900000Z,2025-02-15T11:30:48.210000Z,2.3812077816236728e-08
4O.SA06,2025-02-15T11:30:40.371000Z,2025-02-15T11:30:42.051000Z,8.906237008871949e-08
TX.PB38,2025-02-15T11:30:42.270000Z,2025-02-15T11:30:45.340000Z,1.970030498954888e-08
4O.CV01,2025-02-15T11:30:42.220000Z,2025-02-15T11:30:45.245000Z,3.679292148644448e-08
4O.SA04,2025-02-15T11:30:40.387000Z,2025-02-15T11:30:41.827000Z,6.144458358385706e-08
TX.PB23,2025-02-15T11:30:40.805000Z,2025-02-15T11:30:42.545000Z,1.0670978500832583e-07
TX.PECS,2025-02-15T11:30:46.360000Z,2025-02-15T11:30:52.115000Z,8.87050252082242e-09
4O.NGL01,2025-02-15T11:30:59.309000Z,2025-02-15T11:31:14.609000Z,1.731625700423348e-09
TX.PB01,2025-02-15T11:30:53.540000Z,2025-02-15T11:31:04.440000Z,3.6997116740884424e-09
4O.SA07,2025-02-15T11:30:42.923000Z,2025-02-15T11:30:45.853000Z,9.734822891789717e-09
4O.NGL02,2025-02-15T11:30:58.705000Z,2025-02-15T11:31:13.245000Z,2.632516005096066e-09
TX.PB36,2025-02-15T11:30:42.710000Z,2025-02-15T11:30:45.060000Z,1.9836321020276244e-08
TX.PB05,2025-02-15T11:30:58.390000Z,2025-02-15T11:31:12.260000Z,2.594410495429139e-09
TX.PB24,2025-02-15T11:30:42.403000Z,2025-02-15T11:30:44.383000Z,5.6718018678738053e-08
2025-02-15T11:14:27.735294Z,31.67392,-104.20298,5.0,0.6432
TX.PB35,2025-02-15T11:14:31.450000Z,2025-02-15T11:14:34.470000Z,1.0970388062227674e-08
4O.SA06,2025-02-15T11:14:29.711000Z,2025-02-15T11:14:31.441000Z,5.509966067479625e-08
TX.PB26,2025-02-15T11:14:29.967000Z,2025-02-15T11:14:31.867000Z,7.791057629449709e-08
TX.PB38,2025-02-15T11:14:31.590000Z,2025-02-15T11:14:34.680000Z,7.917094977869121e-09
TX.PB11,2025-02-15T11:14:33.260000Z,2025-02-15T11:14:37.530000Z,1.2537917404550496e-08
4O.SA02,2025-02-15T11:14:29.109000Z,2025-02-15T11:14:30.259000Z,7.825496546991351e-08
TX.PB39,2025-02-15T11:14:30.300000Z,2025-02-15T11:14:32.300000Z,7.373723862032822e-08
TX.PB31,2025-02-15T11:14:30.820000Z,2025-02-15T11:14:33.100000Z,8.571214231124695e-08
TX.PB23,2025-02-15T11:14:30.125000Z,2025-02-15T11:14:31.885000Z,4.846824658201924e-08
4O.SA04,2025-02-15T11:14:29.747000Z,2025-02-15T11:14:31.177000Z,3.813703601628843e-08
TX.PECS,2025-02-15T11:14:35.725000Z,2025-02-15T11:14:41.370000Z,6.001612522272739e-09
